# (c) Martin Lellep 2021; This sample data file belongs to my project "Cycling in Marburg" (http://lellep.xyz/blog/cycling-in-marburg-1-intro.html)
timestamp,Aquamar,Biegenstraße/Cineplex,Elisabeth-Blochmann-Platz,Stadtbüro,Wehrda Bürgerhaus
2020-06-06 04:37:53.214277,3,0,6,2,4
2020-06-06 04:38:28.765975,3,0,6,2,4
2020-06-06 04:39:04.367465,3,0,6,2,4
2020-06-06 04:39:39.966147,3,0,6,2,4
2020-06-06 04:40:15.436031,3,0,6,2,4
2020-06-06 04:40:50.899165,3,0,6,2,4
2020-06-06 04:41:26.375656,3,0,6,2,4
2020-06-06 04:42:01.924044,3,0,6,2,4
2020-06-06 04:42:37.429073,3,0,6,2,4
2020-06-06 04:43:12.896586,3,0,6,2,4
2020-06-06 04:43:48.360579,3,0,6,2,4
2020-06-06 04:44:23.800328,3,0,6,2,4
2020-06-06 04:44:59.805257,3,0,6,2,4
2020-06-06 04:47:07.824807,3,0,6,2,4
2020-06-06 04:47:43.337142,3,0,6,2,4
2020-06-06 04:48:18.811835,3,0,6,2,4
2020-06-06 04:48:54.305005,3,0,6,2,4
2020-06-06 04:49:29.774838,3,0,6,2,4
2020-06-06 04:50:05.356587,3,0,6,2,4
2020-06-06 04:50:40.982494,3,0,6,2,4
2020-06-06 04:51:16.608500,3,0,6,2,4
2020-06-06 04:51:52.157212,3,0,6,2,4
2020-06-06 04:52:27.550796,3,0,7,2,4
2020-06-06 04:53:03.006075,3,0,7,2,4
2020-06-06 04:53:38.507789,3,0,7,2,4
2020-06-06 04:54:14.071329,3,0,7,2,4
2020-06-06 04:54:49.623361,3,0,7,2,4
2020-06-06 04:55:25.133742,3,0,7,2,4
2020-06-06 04:56:00.673602,3,0,7,2,4
2020-06-06 04:56:36.129608,3,0,7,2,4
2020-06-06 04:57:11.646148,3,0,7,2,4
2020-06-06 04:57:47.264567,3,0,7,2,4
2020-06-06 04:58:22.791300,3,0,7,2,4
2020-06-06 04:58:58.317029,3,0,7,2,4
2020-06-06 04:59:33.830159,3,0,7,2,4
2020-06-06 05:00:09.311665,3,0,7,2,4
2020-06-06 05:00:44.843262,3,0,7,2,4
2020-06-06 05:01:20.391961,3,0,7,2,4
2020-06-06 05:01:55.975592,3,0,7,2,4
